Gene,Gene_ID,disease_name,disease_id,score,Calculated_Risk_Score,Num_SNPs,Total_Risk_Score,Weighted_Gene_Score,Feature_Type,Gene_Length_bp
CDKL2,ENSG00000138769,gastrointestinal disease,EFO_0010282,0.3092797344550669,3.0929614471147713,2,0.8,1.6,transcript,9750.0
GASK1B,ENSG00000164125,educational attainment,EFO_0011015,0.3092682042464953,3.092854928216286,3,1.2000000000000002,3.6000000000000005,transcript,20823.0
ZNF507,ENSG00000168813,attention deficit hyperactivity disorder,EFO_0003888,0.3092682042464953,3.0926964413130453,1,0.4,0.4,transcript,27780.0
ZNF507,ENSG00000168813,social inhibition quality,OBA_1000278,0.3092682042464953,3.0926964413130453,1,0.4,0.4,transcript,27780.0
ZNF507,ENSG00000168813,substance abuse,MONDO_0002491,0.3092682042464953,3.0926964413130453,1,0.4,0.4,transcript,27780.0
SLCO6A1,ENSG00000205359,schizophrenia,MONDO_0005090,0.30926603797625224,3.092701633887935,1,0.5,0.5,transcript,12120.0
ANKRD36,ENSG00000135976,total blood protein measurement,EFO_0004536,0.3092575029765203,3.092650416120273,2,1.0,2.0,transcript,26530.0
PPP1R9A,ENSG00000158528,sodium measurement,EFO_0009282,0.3092403717983624,3.0924827261275403,3,1.3,3.9000000000000004,transcript,49362.0
RTF1,ENSG00000137815,heart rate,OBA_1001087,0.30920120930990364,3.0920638127783744,1,0.4,0.4,transcript,7734.0
TAF2,ENSG00000064313,red blood cell density,OBA_2045260,0.3091733275865552,3.091736068849576,1,0.5,0.5,transcript,179020.0
MYO1B,ENSG00000128641,platelet crit,EFO_0007985,0.3091513674934874,3.091527083355362,1,0.4,0.4,transcript,29832.0
RFX3,ENSG00000080298,educational attainment,EFO_0011015,0.30912697509235554,3.091326252088892,2,0.8,1.6,transcript,28318.0
DLG2,ENSG00000150672,refractive error,MONDO_0004892,0.3090149609334113,3.090152382259272,1,0.4,0.4,transcript,144252.0
KIAA0586,ENSG00000100578,lymphocyte count,EFO_0004587,0.30900050207903473,3.0900106718487907,1,0.5,0.5,transcript,88479.0
ABCA10,ENSG00000154263,platelet count,EFO_0004309,0.30900050207903473,3.09010495694225,3,1.2000000000000002,3.6000000000000005,transcript,36023.0
CENPE,ENSG00000138778,protein measurement,EFO_0004747,0.308993141524449,3.08995710897522,1,0.5,0.5,transcript,19460.0
UBL3,ENSG00000122042,monocyte count,EFO_0005091,0.30899274051896886,3.0907613176288824,3,1.2000000000000002,3.6000000000000005,transcript,4317.0
RSBN1L,ENSG00000187257,free androgen index,EFO_0007005,0.30897324388900377,3.089869155971128,2,0.8,1.6,transcript,11703.0
WDR59,ENSG00000103091,growth differentiation factor 15 amount,OBA_2050135,0.3089607916765359,3.08968157141711,2,0.8,1.6,transcript,21723.0
AOX1,ENSG00000138356,N-formylmethionine measurement,EFO_0800128,0.30895134672169894,3.0895415689452457,1,0.4,0.4,transcript,14234.0
DYNC2H1,ENSG00000187240,type 2 diabetes mellitus,MONDO_0005148,0.3089453230578107,3.089463386986801,1,0.5,0.5,transcript,49230.0
TNPO3,ENSG00000064419,clear cell renal carcinoma,EFO_0000349,0.3088934915721519,3.0889615880782886,1,0.5,0.5,transcript,18746.0
ATAD2B,ENSG00000119778,neutrophil-to-lymphocyte ratio,EFO_0008447,0.3088557971620372,3.0885761493072614,1,0.4,0.4,transcript,22005.0
NBEAL1,ENSG00000144426,brain volume,OBA_2050009,0.30885382348648166,3.088542088466489,1,0.4,0.4,transcript,103799.0
THAP1,ENSG00000131931,dystonic disorder,MONDO_0003441,0.3088045008032175,3.0881243731115395,1,0.4,0.4,transcript,5040.0
DYNC2H1,ENSG00000187240,Short long bone,HP_0003026,0.3088045008032175,3.0880551644408687,1,0.5,0.5,transcript,49230.0
GPR180,ENSG00000152749,Abruptio Placentae,EFO_1001754,0.30878028822548576,3.0878479070184777,1,0.4,0.4,transcript,8884.0
C2orf73,ENSG00000177994,arterial stiffness measurement,EFO_0004517,0.30878028822548576,3.0878511914336015,1,0.4,0.4,transcript,8280.0
MIOS,ENSG00000164654,growth differentiation factor 15 amount,OBA_2050135,0.3087627248624252,3.087988626376934,4,1.6,6.4,transcript,17710.0
STAU2,ENSG00000040341,electrocardiography,EFO_0004327,0.30873822423012864,3.0873938104841563,1,0.5,0.5,transcript,43222.0
PSD3,ENSG00000156011,type 1 diabetes mellitus,MONDO_0005147,0.30873822423012864,3.0873916853948438,1,0.4,0.4,transcript,42359.0
STAU2,ENSG00000040341,pulse wave reflection index measurement,EFO_0009804,0.30873822423012864,3.0873938104841563,1,0.5,0.5,transcript,43222.0
PSD3,ENSG00000156011,cataract,MONDO_0005129,0.30873822423012864,3.0873916853948438,1,0.4,0.4,transcript,42359.0
PSD3,ENSG00000156011,trauma complication,EFO_0009888,0.30873822423012864,3.0873916853948438,1,0.4,0.4,transcript,42359.0
ZFP1,ENSG00000184517,metabolite measurement,EFO_0004725,0.30871860810101437,3.087214433717827,1,0.4,0.4,transcript,14108.0
TLK1,ENSG00000198586,systolic blood pressure,EFO_0006335,0.308698789972708,3.0870017948880903,1,0.4,0.4,transcript,28787.0
TMED5,ENSG00000117500,triglyceride measurement,EFO_0004530,0.30869811858735563,3.0870131531390763,1,0.5,0.5,transcript,15641.0
KCNJ15,ENSG00000157551,body surface area,EFO_0022196,0.3086976189915934,3.086986023966334,1,0.4,0.4,transcript,40675.0
SLC35B4,ENSG00000205060,triacylglycerol 52:6 measurement,EFO_0010418,0.30862318234902675,3.0862737434231957,1,0.4,0.4,transcript,9542.0
NEDD1,ENSG00000139350,arterial stiffness measurement,EFO_0004517,0.30860103702079583,3.0860296268996588,1,0.4,0.4,transcript,20772.0
NCS1,ENSG00000107130,insomnia,EFO_0004698,0.3085727557634279,3.0857892099154136,1,0.4,0.4,transcript,6488.0
NUDCD1,ENSG00000120526,bilirubin measurement,EFO_0004570,0.3085490084277379,3.0855010726846093,1,0.4,0.4,transcript,36402.0
PIGB,ENSG00000069943,lymphocyte count,EFO_0004587,0.3085304499399645,3.0853446503672832,1,0.5,0.5,transcript,12453.0
FBXO22,ENSG00000167196,diabetes mellitus,EFO_0000400,0.3084905132072579,3.084926330864248,1,0.4,0.4,transcript,18869.0
GLB1,ENSG00000170266,lean body mass,EFO_0004995,0.3084905132072579,3.084936040151951,1,0.5,0.5,transcript,16177.0
SLCO5A1,ENSG00000137571,urinary bladder cancer,MONDO_0001187,0.30848114068452365,3.085241958812859,5,2.0,10.0,transcript,23226.0
TRDN,ENSG00000186439,drug allergy,EFO_0009482,0.30847734832333545,3.084792686674611,1,0.5,0.5,transcript,26037.0
CAV2,ENSG00000105971,TPE interval measurement,EFO_0004644,0.3084456473106291,3.0844806466724966,1,0.4,0.4,transcript,16547.0
MFAP3,ENSG00000037749,mean corpuscular hemoglobin,EFO_0004527,0.30843787923536153,3.084391382055239,1,0.4,0.4,transcript,31772.0
NUDCD1,ENSG00000120526,schizophrenia,MONDO_0005090,0.30843348713099183,3.084345859717149,1,0.4,0.4,transcript,36402.0
NUDCD1,ENSG00000120526,self reported educational attainment,EFO_0004784,0.30843348713099183,3.084345859717149,1,0.4,0.4,transcript,36402.0
NUDCD1,ENSG00000120526,intelligence,EFO_0004337,0.30843348713099183,3.084345859717149,1,0.4,0.4,transcript,36402.0
SPOCK3,ENSG00000196104,glucuronate measurement,EFO_0010486,0.3083963772024356,3.084046136808835,3,1.2000000000000002,3.6000000000000005,transcript,43708.0
MAP1LC3B2,ENSG00000258102,high density lipoprotein cholesterol measurement,EFO_0004612,0.30837386530627864,3.0839049041018556,1,0.4,0.4,transcript,2406.0
ALPK3,ENSG00000136383,neurodegenerative disease,EFO_0005772,0.3083663161831583,3.0837004578688787,1,0.4,0.4,transcript,10725.0
AKR1B10,ENSG00000198074,Calcium channel blocker use measurement,EFO_0009930,0.3083442710329034,3.083574845635588,1,0.5,0.5,transcript,3784.0
GASK1B,ENSG00000164125,level of cathepsin O in blood serum,OBA_2041195,0.30832698131730185,3.083442698924351,3,1.2000000000000002,3.6000000000000005,transcript,20823.0
ANKRD10,ENSG00000088448,apolipoprotein A 1 measurement,EFO_0004614,0.30831956814209255,3.0833737758109523,2,0.8,1.6,transcript,8984.0
SRGN,ENSG00000122862,lymphocyte count,EFO_0004587,0.3083118400881801,3.0832417815110422,1,0.4,0.4,transcript,3242.0
LRRC7,ENSG00000033122,bone tissue density,OBA_1000110,0.3083095554537582,3.0831596582431327,3,1.2000000000000002,3.6000000000000005,transcript,56159.0
WAPL,ENSG00000062650,mathematical ability,EFO_0004875,0.30830858168503955,3.083219573747235,2,0.8,1.6,transcript,11962.0
CYBRD1,ENSG00000071967,metabolic rate measurement,EFO_0005115,0.30824910557949964,3.082525165115368,1,0.4,0.4,transcript,11727.0
C18orf54,ENSG00000166845,corneal dystrophy,MONDO_0018102,0.30823070140122855,3.0823924886637095,2,0.8,1.6,transcript,18719.0
BTC,ENSG00000174808,liver disease,EFO_0001421,0.30815943135851975,3.081716376447572,1,0.4,0.4,transcript,3277.0
GALNT3,ENSG00000115339,urate measurement,EFO_0004531,0.30815943135851975,3.081623221585487,1,0.4,0.4,transcript,13837.0
WDR12,ENSG00000138442,blood urea nitrogen measurement,EFO_0004741,0.3080975233774402,3.080995172959886,1,0.4,0.4,transcript,20061.0
BHLHE41,ENSG00000123095,platelet crit,EFO_0007985,0.3080961634590319,3.0810499153230495,1,0.4,0.4,transcript,4531.0
TMEM132B,ENSG00000139364,glomerular filtration rate,OBA_0003747,0.30809585551065105,3.0810479183930934,3,1.2000000000000002,3.6000000000000005,transcript,40285.0
TMEM132B,ENSG00000139364,serum creatinine amount,OBA_2050096,0.30809585551065105,3.0810479183930934,3,1.2000000000000002,3.6000000000000005,transcript,40285.0
CCDC7,ENSG00000216937,pulse wave reflection index measurement,EFO_0009804,0.3080264817350427,3.080283414389778,1,0.5,0.5,transcript,26886.0
TEX15,ENSG00000133863,neutrophil count,EFO_0004833,0.3080158122519509,3.080173046110722,1,0.5,0.5,transcript,33504.0
LRRC58,ENSG00000163428,appendicular lean mass,EFO_0004980,0.3080069599133238,3.0802716703633464,2,0.8,1.6,transcript,7918.0
TOPAZ1,ENSG00000173769,serum creatinine amount,OBA_2050096,0.30800127189336546,3.0801064572163694,1,0.5,0.5,transcript,5334.0
SPOCK3,ENSG00000196104,glucose measurement,EFO_0004468,0.3079958089155762,3.0800404539402413,3,1.2000000000000002,3.6000000000000005,transcript,43708.0
LRRC7,ENSG00000033122,mathematical ability,EFO_0004875,0.30795760597737015,3.079640163479252,3,1.2000000000000002,3.6000000000000005,transcript,56159.0
DNAJC10,ENSG00000077232,smoking initiation,EFO_0005670,0.307954455433462,3.0795638060651527,4,1.7000000000000002,6.800000000000001,transcript,353215.0
DAG1,ENSG00000173402,inflammatory bowel disease,EFO_0003767,0.30791833605535307,3.0791895486723426,1,0.4,0.4,transcript,64640.0
ZNF429,ENSG00000197013,protein measurement,EFO_0004747,0.30789339522345155,3.079089760979281,2,0.8,1.6,transcript,10269.0
HACD1,ENSG00000165996,aspartate aminotransferase measurement,EFO_0004736,0.30787753248105654,3.0788400183250406,1,0.4,0.4,transcript,6183.0
MAP1LC3B2,ENSG00000258102,gastrointestinal disease,EFO_0010282,0.3078296304404874,3.078462555443943,1,0.4,0.4,transcript,2406.0
NEDD1,ENSG00000139350,obstructive sleep apnea,EFO_0003918,0.3078224128462344,3.0782433851540443,1,0.4,0.4,transcript,20772.0
NEDD1,ENSG00000139350,squamous cell carcinoma,EFO_0000707,0.3078224128462344,3.0782433851540443,1,0.4,0.4,transcript,20772.0
ZNF716,ENSG00000182111,pulse pressure measurement,EFO_0005763,0.3078224128462344,3.081103207157162,6,2.5,15.0,transcript,5210.0
DNAJC10,ENSG00000077232,hemangioma of subcutaneous tissue,EFO_1000707,0.307772953943373,3.0777487911642627,4,1.7000000000000002,6.800000000000001,transcript,353215.0
TWSG1,ENSG00000128791,high density lipoprotein cholesterol measurement,EFO_0004612,0.3077559530746158,3.077615241052565,1,0.4,0.4,transcript,7180.0
ROCK2,ENSG00000134318,brain attribute,OBA_2045210,0.30771392902196143,3.077150283821338,1,0.5,0.5,transcript,45481.0
SGTB,ENSG00000197860,COVID-19,MONDO_0100096,0.3076884130151487,3.076947271430098,1,0.4,0.4,transcript,6335.0
SGTB,ENSG00000197860,severe acute respiratory syndrome,EFO_0000694,0.3076884130151487,3.076947271430098,1,0.4,0.4,transcript,6335.0
SLC44A1,ENSG00000070214,adrenal gland hyperfunction,EFO_1000797,0.3076858136001505,3.07686774491858,1,0.4,0.4,transcript,41628.0
FREM2,ENSG00000150893,ovarian neoplasm,EFO_0003893,0.3076858136001505,3.0777492427560946,6,2.5,15.0,transcript,16833.0
MAP3K7,ENSG00000135341,platelet count,EFO_0004309,0.3076858136001505,3.0769475227247836,4,1.6,6.4,transcript,71599.0
GPR85,ENSG00000164604,smoking initiation,EFO_0005670,0.3076294625428842,3.076318172847456,1,0.4,0.4,transcript,16987.0
GPR158,ENSG00000151025,visceral adipose tissue quantity,OBA_2045224,0.30761920103397156,3.0762176816443314,1,0.5,0.5,transcript,19477.0
KCNJ15,ENSG00000157551,reticulocyte count,EFO_0007986,0.3076037985909128,3.0760478199595274,1,0.4,0.4,transcript,40675.0
FRS2,ENSG00000166225,Toxic Nodular Goiter,EFO_0009191,0.30757497189163,3.0757658278124382,1,0.4,0.4,transcript,24831.0
TRDMT1,ENSG00000107614,diastolic blood pressure change measurement,EFO_0006945,0.30757287416848933,3.075742533361616,1,0.4,0.4,transcript,29003.0
PARP8,ENSG00000151883,body mass index,EFO_0004340,0.3075546082418891,3.075593159242383,2,0.8,1.6,transcript,33987.0
ZNF697,ENSG00000143067,"osteoarthritis, hip",EFO_1000786,0.3075193770196322,3.075839047127672,3,1.2000000000000002,3.6000000000000005,transcript,5579.0
ZNF697,ENSG00000143067,"osteoarthritis, knee",EFO_0004616,0.3075193770196322,3.075839047127672,3,1.2000000000000002,3.6000000000000005,transcript,5579.0
MGA,ENSG00000174197,systolic blood pressure,EFO_0006335,0.3074912475132369,3.074918396917432,1,0.5,0.5,transcript,84434.0
RSBN1L,ENSG00000187257,serum alanine aminotransferase measurement,EFO_0004735,0.30739185388269047,3.074055255907995,2,0.8,1.6,transcript,11703.0
NID2,ENSG00000087303,FEV/FVC ratio,EFO_0004713,0.3073855525807665,3.0739006603084773,1,0.5,0.5,transcript,11078.0
BIRC6,ENSG00000115760,androsterone glucuronide measurement,EFO_0800317,0.30736331720913684,3.0736403543483206,1,0.5,0.5,transcript,69616.0
SLAIN2,ENSG00000109171,body fat percentage,EFO_0007800,0.3073355140701396,3.0734908834688515,2,0.8,1.6,transcript,11787.0
SLC44A1,ENSG00000070214,hyperaldosteronism,EFO_0009452,0.30733541262663233,3.0733637351833982,1,0.4,0.4,transcript,41628.0
SPOCK3,ENSG00000196104,cervical carcinoma,EFO_0001061,0.30733541262663233,3.0734364910508023,3,1.2000000000000002,3.6000000000000005,transcript,43708.0
RGS7BP,ENSG00000186479,hyperpituitarism,EFO_1000973,0.30733541262663233,3.07344224752117,1,0.5,0.5,transcript,5674.0
CLASP2,ENSG00000163539,placental retention,EFO_0009578,0.30731017927436083,3.0731079121328935,1,0.4,0.4,transcript,65366.0
DLG1,ENSG00000075711,peak expiratory flow,EFO_0009718,0.3073065951108203,3.0730813608797103,3,1.2000000000000002,3.6000000000000005,transcript,233618.0
DNAJC10,ENSG00000077232,neurodegenerative disease,EFO_0005772,0.3073065848210129,3.073085099940662,4,1.7000000000000002,6.800000000000001,transcript,353215.0
FANCF,ENSG00000183161,Abnormality of the integument,HP_0001574,0.30725666798545337,3.0726882234583015,1,0.4,0.4,transcript,3291.0
MRPL32,ENSG00000106591,cortical thickness,EFO_0004840,0.3072188675270372,3.0722718180681268,1,0.4,0.4,transcript,4811.0
NMRK1,ENSG00000106733,metabolite measurement,EFO_0004725,0.30721370722158386,3.0721830439432263,1,0.4,0.4,transcript,8701.0
ARHGAP28,ENSG00000088756,multinodular goiter,MONDO_0000334,0.3071968204519323,3.071980506155441,1,0.4,0.4,transcript,32516.0
U2SURP,ENSG00000163714,high density lipoprotein cholesterol measurement,EFO_0004612,0.3071488942673229,3.071539350662895,2,0.8,1.6,transcript,31741.0
FZD3,ENSG00000104290,metabolite measurement,EFO_0004725,0.3070907225549193,3.070921342365851,1,0.4,0.4,transcript,28335.0
CMYA5,ENSG00000164309,growth differentiation factor 15 amount,OBA_2050135,0.3070907225549193,3.070934842229668,1,0.5,0.5,transcript,18105.0
LHFPL2,ENSG00000145685,COVID-19,MONDO_0100096,0.3070894460714309,3.070921353278515,1,0.4,0.4,transcript,14874.0
TULP4,ENSG00000130338,grip strength measurement,EFO_0006941,0.30705638211419445,3.0705827461987196,1,0.4,0.4,transcript,21136.0
RFX3,ENSG00000080298,"osteoarthritis, hip",EFO_1000786,0.30704433328957054,3.070499834061042,2,0.8,1.6,transcript,28318.0
MEOX2,ENSG00000106511,BMI-adjusted waist circumference,EFO_0007789,0.3069290617054432,3.0694593222421167,1,0.4,0.4,transcript,2371.0
SLC7A2,ENSG00000003989,ornithine measurement,EFO_0009776,0.30690307785037035,3.069151774124814,3,1.4,4.199999999999999,transcript,34712.0
DPP8,ENSG00000074603,reticulocyte count,EFO_0007986,0.306872552774731,3.0689072478415778,4,1.6,6.4,transcript,35219.0
TRAM1,ENSG00000067167,Benign Thyroid Gland Neoplasm,EFO_1000122,0.3068409704386584,3.0686002032554964,2,0.8,1.6,transcript,8399.0
SLC11A2,ENSG00000110911,neuroimaging measurement,EFO_0004346,0.3068082183878571,3.068110145152207,2,0.8,1.6,transcript,57222.0
PARP11,ENSG00000111224,platelet volume,OBA_0003277,0.3067971016146371,3.067988964634211,1,0.4,0.4,transcript,22286.0
CCDC77,ENSG00000120647,obstructive sleep apnea,EFO_0003918,0.30679085060769246,3.067936870847879,1,0.4,0.4,transcript,14102.0
ATXN3,ENSG00000066427,sexual dimorphism measurement,EFO_0021796,0.30679024006232636,3.067908123820814,1,0.4,0.4,transcript,69891.0
FAM171B,ENSG00000144369,systolic blood pressure,EFO_0006335,0.30676448966020076,3.0677146924491545,1,0.4,0.4,transcript,5731.0
C2CD4A,ENSG00000198535,diabetic retinopathy,EFO_0003770,0.3067408448880576,3.0675245591853653,1,0.4,0.4,transcript,3445.0
CD93,ENSG00000125810,neurodegenerative disease,EFO_0005772,0.3067359464102637,3.0673857816235266,1,0.4,0.4,transcript,15199.0
HTR1F,ENSG00000179097,connective tissue disease,EFO_1001986,0.3067317780620804,3.0674359141116487,1,0.4,0.4,transcript,3386.0
SYT13,ENSG00000019505,insomnia,EFO_0004698,0.3067269312186494,3.0674845974394542,2,0.8,1.6,transcript,7432.0
GKAP1,ENSG00000165113,esterified cholesterol measurement,EFO_0008589,0.3067143617297537,3.0672007438328124,1,0.4,0.4,transcript,7002.0
GKAP1,ENSG00000165113,free cholesterol to total lipids in medium LDL percentage ,EFO_0022283,0.3067143617297537,3.0672007438328124,1,0.4,0.4,transcript,7002.0
ROCK2,ENSG00000134318,cystatin C measurement,EFO_0004617,0.3066690464341371,3.0667014579430947,1,0.5,0.5,transcript,45481.0
CCDC34,ENSG00000109881,glomerular filtration rate,OBA_0003747,0.30665476894302945,3.0666412129280736,1,0.4,0.4,transcript,4277.0
USP6,ENSG00000129204,squamous cell lung carcinoma,EFO_0000708,0.30661039812327606,3.0661152777957814,1,0.4,0.4,transcript,35409.0
PYHIN1,ENSG00000163564,granulocyte count,EFO_0007987,0.3066019521931951,3.066057279153019,1,0.4,0.4,transcript,10594.0
TMEM123,ENSG00000152558,eye injury,EFO_0009485,0.30658810915823614,3.0659208135287366,1,0.4,0.4,transcript,10070.0
CDV3,ENSG00000091527,trauma complication,EFO_0009888,0.30658810915823614,3.065907214884347,1,0.4,0.4,transcript,15312.0
B4GALT6,ENSG00000118276,arterial stiffness measurement,EFO_0004517,0.30658810915823614,3.0659123293800965,1,0.4,0.4,transcript,12805.0
FZD3,ENSG00000104290,drug use measurement,EFO_0007010,0.30658810915823614,3.065895208399019,1,0.4,0.4,transcript,28335.0
FZD3,ENSG00000104290,amyotrophic lateral sclerosis,MONDO_0004976,0.30658810915823614,3.065895208399019,1,0.4,0.4,transcript,28335.0
DAG1,ENSG00000173402,mean corpuscular hemoglobin concentration,EFO_0004528,0.30657864640075994,3.0657926521264116,1,0.4,0.4,transcript,64640.0
MIOS,ENSG00000164654,HbA1c measurement,EFO_0004541,0.3065609647643436,3.0659710253961183,4,1.6,6.4,transcript,17710.0
DMRTA1,ENSG00000176399,beverage consumption measurement,EFO_0010088,0.3065498820593136,3.0655704281835403,1,0.4,0.4,transcript,5586.0
RBM28,ENSG00000106344,JT interval,EFO_0007885,0.30654482161555063,3.065520450918486,2,0.8,1.6,transcript,22150.0
MATN2,ENSG00000132561,poisoning,EFO_0008546,0.30654482161555063,3.065465171630429,1,0.5,0.5,transcript,29489.0
MATN2,ENSG00000132561,response to antibiotic,GO_0046677,0.30654482161555063,3.065465171630429,1,0.5,0.5,transcript,29489.0
SHC4,ENSG00000185634,Splenomegaly,HP_0001744,0.30654482161555063,3.065481991381378,1,0.4,0.4,transcript,11843.0
CYBRD1,ENSG00000071967,waist-hip ratio,EFO_0004343,0.3065346453892945,3.0653805632133166,1,0.4,0.4,transcript,11727.0
CYBRD1,ENSG00000071967,grip strength measurement,EFO_0006941,0.3065346453892945,3.0653805632133166,1,0.4,0.4,transcript,11727.0
CYBRD1,ENSG00000071967,heel bone mineral density,EFO_0009270,0.3065346453892945,3.0653805632133166,1,0.4,0.4,transcript,11727.0
SLC35B4,ENSG00000205060,triacylglycerol 54:8 measurement,EFO_0010426,0.3064967196538005,3.0650091164709328,1,0.4,0.4,transcript,9542.0
CNTLN,ENSG00000044459,waist-hip ratio,EFO_0004343,0.306492582090205,3.0650472814653233,2,0.8,1.6,transcript,13173.0
TMEM123,ENSG00000152558,neuroimaging measurement,EFO_0004346,0.3064912575483126,3.064952297429501,1,0.4,0.4,transcript,10070.0
LGSN,ENSG00000146166,lymphocyte count,EFO_0004587,0.30648160904001304,3.064846687814649,1,0.4,0.4,transcript,13073.0
MEOX2,ENSG00000106511,phosphatidylcholine measurement,EFO_0010226,0.3064443046730202,3.0646117519178864,1,0.4,0.4,transcript,2371.0
MGA,ENSG00000174197,vital capacity,EFO_0004312,0.30642431220136307,3.0642490437986933,1,0.5,0.5,transcript,84434.0
AKR1C1,ENSG00000187134,hip geometry,EFO_0004685,0.30640372387797704,3.064176429732359,2,0.8,1.6,transcript,11495.0
WWTR1,ENSG00000018408,hepatocellular carcinoma,EFO_0000182,0.3063712332194543,3.0637971678255083,2,0.8,1.6,transcript,18860.0
TMEM68,ENSG00000167904,"chromosome, telomeric region length",OBA_0003784,0.30635911553836453,3.0636098269049072,1,0.4,0.4,transcript,21423.0
IREB2,ENSG00000136381,bacterial pneumonia,EFO_1001272,0.3063391598910522,3.063491454674419,2,0.9,1.8,transcript,18026.0
BTF3L4,ENSG00000134717,knee fracture,EFO_0009617,0.306316627753618,3.0632024373626128,1,0.4,0.4,transcript,11062.0
PYGO1,ENSG00000171016,serum creatinine amount,OBA_2050096,0.306316627753618,3.0634941127989603,4,1.6,6.4,transcript,19522.0
EDEM1,ENSG00000134109,high density lipoprotein cholesterol measurement,EFO_0004612,0.3063038642879254,3.0631716216026583,2,0.8,1.6,transcript,12032.0
TBXT,ENSG00000164458,lean body mass,EFO_0004995,0.3062833776382326,3.063294252207345,3,1.2000000000000002,3.6000000000000005,transcript,7818.0
RFX3,ENSG00000080298,glomerular filtration rate,OBA_0003747,0.3062689683870084,3.0627461850354205,2,0.8,1.6,transcript,28318.0
SLC36A4,ENSG00000180773,metabolite measurement,EFO_0004725,0.30626488799670126,3.0627594153728848,2,0.8,1.6,transcript,14475.0
LMNTD1,ENSG00000152936,aspartate aminotransferase measurement,EFO_0004736,0.30626488799670126,3.0628035457171414,2,0.9,1.8,transcript,11638.0
TULP4,ENSG00000130338,body height,OBA_VT0001253,0.30624521006661226,3.0624710257228975,1,0.4,0.4,transcript,21136.0
FRRS1L,ENSG00000260230,waist-hip ratio,EFO_0004343,0.3062307984139724,3.0623938901799925,2,0.8,1.6,transcript,18625.0
ZPLD1,ENSG00000170044,arterial stiffness measurement,EFO_0004517,0.3062201693139585,3.062360675651509,2,0.8,1.6,transcript,10064.0
PICALM,ENSG00000073921,Alzheimer's disease biomarker measurement,EFO_0006514,0.3061876477151212,3.061889745469784,1,0.4,0.4,transcript,30147.0
KPNA4,ENSG00000186432,testosterone measurement,EFO_0004908,0.3061704023955954,3.0617130171660802,1,0.4,0.4,transcript,44478.0
ZNF236,ENSG00000130856,arterial stiffness measurement,EFO_0004517,0.3061505116763633,3.061564084822601,2,0.9,1.8,transcript,30525.0
ZFP90,ENSG00000184939,erythrocyte count,EFO_0004305,0.30609274610688275,3.060940816215567,1,0.4,0.4,transcript,29951.0
SLC25A16,ENSG00000122912,secondary malignant neoplasm,EFO_0009812,0.3060244669013493,3.060275705636709,1,0.4,0.4,transcript,12888.0
FYCO1,ENSG00000163820,lean body mass,EFO_0004995,0.3060244669013493,3.0602692798545688,1,0.4,0.4,transcript,16253.0
DCLK1,ENSG00000133083,liver disease,EFO_0001421,0.306021131519078,3.06026151284404,2,0.8,1.6,transcript,31874.0
KLHL3,ENSG00000146021,hematocrit,EFO_0004348,0.3060108346086639,3.060155656769983,2,0.8,1.6,transcript,33819.0
FRMD4B,ENSG00000114541,glomerular filtration rate,OBA_0003747,0.3059737889521139,3.05981398578291,2,0.8,1.6,transcript,21026.0
TRAPPC8,ENSG00000153339,smoking initiation,EFO_0005670,0.3059697361021123,3.0597177700174085,1,0.5,0.5,transcript,24499.0
CENPC,ENSG00000145241,metabolic syndrome,EFO_0000195,0.30596960787015554,3.059894885858613,3,1.2000000000000002,3.6000000000000005,transcript,18108.0
CENPC,ENSG00000145241,cannabis dependence,EFO_0007191,0.30596960787015554,3.059894885858613,3,1.2000000000000002,3.6000000000000005,transcript,18108.0
CENPC,ENSG00000145241,arterial stiffness measurement,EFO_0004517,0.30596960787015554,3.059894885858613,3,1.2000000000000002,3.6000000000000005,transcript,18108.0
CENPC,ENSG00000145241,heart failure,EFO_0003144,0.30596960787015554,3.059894885858613,3,1.2000000000000002,3.6000000000000005,transcript,18108.0
EDEM1,ENSG00000134109,blood pantoate measurement,EFO_0022210,0.30596960787015554,3.0598290574249596,2,0.8,1.6,transcript,12032.0
TRHDE,ENSG00000072657,X-12544 measurement,EFO_0021315,0.30596960787015554,3.059795649303335,2,0.8,1.6,transcript,16069.0
CSMD3,ENSG00000164796,Abruptio Placentae,EFO_1001754,0.30596960787015554,3.0597041874232964,1,0.5,0.5,transcript,61662.0
RNF144B,ENSG00000137393,smoking initiation,EFO_0005670,0.30596960787015554,3.05976895172032,1,0.4,0.4,transcript,5489.0
RNF144B,ENSG00000137393,blood phosphate measurement,EFO_0010972,0.30596960787015554,3.05976895172032,1,0.4,0.4,transcript,5489.0
RNF144B,ENSG00000137393,cervical carcinoma,EFO_0001061,0.30596960787015554,3.05976895172032,1,0.4,0.4,transcript,5489.0
TTLL7,ENSG00000137941,muscular disease,EFO_0002970,0.30596960787015554,3.059725052136537,2,0.8,1.6,transcript,55223.0
SI,ENSG00000090402,lymphocyte count,EFO_0004587,0.30596960787015554,3.0597681248110655,1,0.5,0.5,transcript,6940.0
SI,ENSG00000090402,protein measurement,EFO_0004747,0.30596960787015554,3.0597681248110655,1,0.5,0.5,transcript,6940.0
TTLL7,ENSG00000137941,cervical carcinoma,EFO_0001061,0.30596960787015554,3.059725052136537,2,0.8,1.6,transcript,55223.0
